County,Year,Variable,Value,CI_Low,CI_High
Hancock,2016,% Excessive Drinking,11.1,10.7,11.6
Grady,2016,% Uninsured,27.937978633,25.554999909,30.320957356
Stephens,2016,Drug Overdose Mortality Rate,22.062449711,N/A,N/A
Lamar,2016,% Unemployed,9.5268624183,N/A,N/A
Stewart,2016,% Excessive Drinking,13.1,12.5,13.7
Pierce,2016,% Uninsured,22.851953908,20.707273057,24.996634759
Habersham,2016,% Excessive Drinking,15.3,14.7,15.9
Polk,2016,% Children in Poverty,30.6,22.855319149,38.344680851
Taylor,2016,% Excessive Drinking,12.9,12.4,13.4
Toombs,2016,% Excessive Drinking,13.8,13.3,14.3
Warren,2016,% Unemployed,9.9155343371,N/A,N/A
Stephens,2016,% Excessive Drinking,14.6,14.0,15.2
Stephens,2016,% Uninsured,18.792628066,16.767096151,20.81815998
Jenkins,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Lanier,2016,% Children in Poverty,37.1,27.329787234,46.870212766
Pulaski,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Randolph,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Lanier,2016,% Unemployed,7.868681605,N/A,N/A
Wayne,2016,% Uninsured,20.124098608,18.098566693,22.149630523
Lanier,2016,% Uninsured,21.876039472,19.254762876,24.497316068
Jackson,2016,% Uninsured,20.273067355,18.485833313,22.060301398
Harris,2016,% Unemployed,6.1095100865,N/A,N/A
Irwin,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Long,2016,% Unemployed,7.3141305987,N/A,N/A
Webster,2016,% Uninsured,22.323049002,19.820921342,24.825176661
Jenkins,2016,% Excessive Drinking,13.2,12.6,13.7
White,2016,% Uninsured,21.639630532,19.494949681,23.784311383
Seminole,2016,% Uninsured,21.977866061,19.714036274,24.241695849
Irwin,2016,% Children in Poverty,35.3,25.768085106,44.831914894
Grady,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Richmond,2016,% Children in Poverty,37.9,31.227659574,44.572340426
Rabun,2016,% Excessive Drinking,13.9,13.3,14.5
Gordon,2016,Drug Overdose Mortality Rate,11.935310616,N/A,N/A
Treutlen,2016,% Unemployed,10.759265923,N/A,N/A
Telfair,2016,% Excessive Drinking,13.6,13.1,14.1
Tattnall,2016,% Unemployed,7.3560100167,N/A,N/A
Warren,2016,% Uninsured,20.601436266,18.218457542,22.984414989
Quitman,2016,% Uninsured,24.590163934,21.849738403,27.330589466
Evans,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Randolph,2016,% Uninsured,19.898421912,17.634592125,22.162251699
Taylor,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Spalding,2016,% Children in Poverty,41.4,33.774468085,49.025531915
Taliaferro,2016,% Uninsured,24.887556222,22.14713069,27.627981754
Haralson,2016,% Uninsured,19.046427231,17.140044252,20.952810209
Taliaferro,2016,% Children in Poverty,49.0,35.655319149,62.344680851
Rabun,2016,% Children in Poverty,33.1,25.355319149,40.844680851
Fannin,2016,% Excessive Drinking,13.6,12.9,14.2
Greene,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Telfair,2016,% Children in Poverty,41.6,30.638297872,52.561702128
Spalding,2016,% Uninsured,19.881974854,17.975591875,21.788357833
Spalding,2016,% Excessive Drinking,14.1,13.6,14.6
Heard,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Fannin,2016,% Uninsured,24.830826016,22.447847293,27.21380474
Stewart,2016,% Children in Poverty,44.7,32.070212766,57.329787234
Habersham,2016,% Children in Poverty,22.3,15.985106383,28.614893617
Taliaferro,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Taliaferro,2016,Injury Death Rate,N/A,N/A,N/A
Richmond,2016,Drug Overdose Mortality Rate,13.037207199,N/A,N/A
Warren,2016,% Excessive Drinking,11.2,10.8,11.6
Seminole,2016,% Excessive Drinking,13.1,12.6,13.6
Paulding,2016,% Excessive Drinking,17.3,16.7,18.0
Randolph,2016,% Unemployed,9.659511473,N/A,N/A
Rabun,2016,% Uninsured,29.686854499,27.303875775,32.069833222
Stewart,2016,% Uninsured,21.523081447,19.020953787,24.025209106
Greene,2016,% Unemployed,8.2927595414,N/A,N/A
Telfair,2016,Drug Overdose Mortality Rate,N/A,N/A,N/A
Paulding,2016,Drug Overdose Mortality Rate,16.563165788,N/A,N/A
Rabun,2016,% Unemployed,8.3434835566,N/A,N/A
Sumter,2016,% Uninsured,21.188701452,18.924871664,23.452531239
Greene,2016,% Uninsured,22.39648162,20.370949705,24.422013535
Stephens,2016,% Children in Poverty,30.3,22.078723404,38.521276596
Greene,2016,% Excessive Drinking,11.8,11.4,12.2
Whitfield,2016,% Children in Poverty,28.4,23.395744681,33.404255319
Bartow,2017,Percent of Deaths by Cause-Drug Overdoses,2.9,N/A,N/A
Bibb,2017,Percent of Deaths by Cause-Drug Overdoses,1.2,N/A,N/A
Atkinson,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Bacon,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Baker,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Baldwin,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Banks,2017,Percent of Deaths by Cause-Drug Overdoses,2.7,N/A,N/A
Barrow,2017,Percent of Deaths by Cause-Drug Overdoses,2.6,N/A,N/A
Butts,2017,Percent of Deaths by Cause-Drug Overdoses,2.0,N/A,N/A
Chattooga,2017,Percent of Deaths by Cause-Drug Overdoses,1.9,N/A,N/A
Lincoln,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Berrien,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Bleckley,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Candler,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Brantley,2017,Percent of Deaths by Cause-Drug Overdoses,2.3,N/A,N/A
Brooks,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Bryan,2017,Percent of Deaths by Cause-Drug Overdoses,1.8,N/A,N/A
Bulloch,2017,Percent of Deaths by Cause-Drug Overdoses,1.2,N/A,N/A
Chattahoochee,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Catoosa,2017,Percent of Deaths by Cause-Drug Overdoses,3.5,N/A,N/A
Clay,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Cherokee,2017,Percent of Deaths by Cause-Drug Overdoses,2.5,N/A,N/A
Clayton,2017,Percent of Deaths by Cause-Drug Overdoses,1.8,N/A,N/A
Clinch,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Cobb,2017,Percent of Deaths by Cause-Drug Overdoses,3.3,N/A,N/A
Carroll,2017,Percent of Deaths by Cause-Drug Overdoses,2.9,N/A,N/A
Coffee,2017,Percent of Deaths by Cause-Drug Overdoses,2.4,N/A,N/A
Columbia,2017,Percent of Deaths by Cause-Drug Overdoses,2.5,N/A,N/A
Cook,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Burke,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Coweta,2017,Percent of Deaths by Cause-Drug Overdoses,2.2,N/A,N/A
Crisp,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Dade,2017,Percent of Deaths by Cause-Drug Overdoses,2.5,N/A,N/A
Chatham,2017,Percent of Deaths by Cause-Drug Overdoses,1.5,N/A,N/A
Decatur,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Colquitt,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Clarke,2017,Percent of Deaths by Cause-Drug Overdoses,1.6,N/A,N/A
Calhoun,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Charlton,2017,Percent of Deaths by Cause-Drug Overdoses,6.5,N/A,N/A
Crawford,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Dawson,2017,Percent of Deaths by Cause-Drug Overdoses,2.4,N/A,N/A
Laurens,2017,Percent of Deaths by Cause-Drug Overdoses,1.0,N/A,N/A
DeKalb,2017,Percent of Deaths by Cause-Drug Overdoses,1.7,N/A,N/A
Echols,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Effingham,2017,Percent of Deaths by Cause-Drug Overdoses,2.4,N/A,N/A
Elbert,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Emanuel,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Evans,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Fannin,2017,Percent of Deaths by Cause-Drug Overdoses,2.0,N/A,N/A
Douglas,2017,Percent of Deaths by Cause-Drug Overdoses,2.5,N/A,N/A
Fayette,2017,Percent of Deaths by Cause-Drug Overdoses,1.7,N/A,N/A
Gwinnett,2017,Percent of Deaths by Cause-Drug Overdoses,2.2,N/A,N/A
Franklin,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Fulton,2017,Percent of Deaths by Cause-Drug Overdoses,2.5,N/A,N/A
Carroll,2017,Age-Adjusted Death Rate-All Opioids,18.2,N/A,N/A
Gilmer,2017,Percent of Deaths by Cause-Drug Overdoses,2.7,N/A,N/A
Long,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Glascock,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Forsyth,2017,Percent of Deaths by Cause-Drug Overdoses,2.7,N/A,N/A
Glynn,2017,Percent of Deaths by Cause-Drug Overdoses,1.7,N/A,N/A
Gordon,2017,Percent of Deaths by Cause-Drug Overdoses,1.7,N/A,N/A
Hancock,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Thomas,2017,Injury Death Rate,63.749069397,53.3,74.2
Liberty,2017,Percent of Deaths by Cause-Drug Overdoses,1.9,N/A,N/A
Dougherty,2017,Percent of Deaths by Cause-Drug Overdoses,0.7,N/A,N/A
Floyd,2017,Percent of Deaths by Cause-Drug Overdoses,1.1,N/A,N/A
Jackson,2017,Percent of Deaths by Cause-Drug Overdoses,2.0,N/A,N/A
Jasper,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Haralson,2017,Percent of Deaths by Cause-Drug Overdoses,2.1,N/A,N/A
Harris,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Hart,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Heard,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Henry,2017,Percent of Deaths by Cause-Drug Overdoses,1.8,N/A,N/A
Houston,2017,Percent of Deaths by Cause-Drug Overdoses,2.2,N/A,N/A
Irwin,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Jefferson,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Dodge,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Hall,2017,Percent of Deaths by Cause-Drug Overdoses,2.2,N/A,N/A
Jenkins,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Johnson,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Jones,2017,Percent of Deaths by Cause-Drug Overdoses,1.8,N/A,N/A
Lamar,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Lee,2017,Percent of Deaths by Cause-Drug Overdoses,1.9,N/A,N/A
Camden,2017,Percent of Deaths by Cause-Drug Overdoses,1.3,N/A,N/A
Lanier,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Pickens,2017,Age-Adjusted Death Rate-All Opioids,21.3,N/A,N/A
Walton,2017,Percent of Deaths by Cause-Drug Overdoses,1.9,N/A,N/A
Pike,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Telfair,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Meriwether,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Pierce,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Monroe,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
McDuffie,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
McIntosh,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Macon,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Madison,2017,Percent of Deaths by Cause-Drug Overdoses,2.7,N/A,N/A
Tattnall,2017,Percent of Deaths by Cause-Drug Overdoses,2.3,N/A,N/A
Marion,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Mitchell,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Oglethorpe,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Montgomery,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Pickens,2017,Percent of Deaths by Cause-Drug Overdoses,2.6,N/A,N/A
Morgan,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Murray,2017,Percent of Deaths by Cause-Drug Overdoses,2.1,N/A,N/A
Muscogee,2017,Percent of Deaths by Cause-Drug Overdoses,1.3,N/A,N/A
Newton,2017,Percent of Deaths by Cause-Drug Overdoses,1.7,N/A,N/A
Polk,2017,Percent of Deaths by Cause-Drug Overdoses,1.8,N/A,N/A
Oconee,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Lowndes,2017,Percent of Deaths by Cause-Drug Overdoses,0.6,N/A,N/A
Schley,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Pulaski,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Putnam,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Grady,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Quitman,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Habersham,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Rabun,2017,Percent of Deaths by Cause-Drug Overdoses,2.8,N/A,N/A
Randolph,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Richmond,2017,Percent of Deaths by Cause-Drug Overdoses,2.6,N/A,N/A
Paulding,2017,Percent of Deaths by Cause-Drug Overdoses,2.4,N/A,N/A
Taylor,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Screven,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Seminole,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Spalding,2017,Percent of Deaths by Cause-Drug Overdoses,1.3,N/A,N/A
Stephens,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Stewart,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Sumter,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Talbot,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Taliaferro,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Rockdale,2017,Percent of Deaths by Cause-Drug Overdoses,1.7,N/A,N/A
Miller,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Peach,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Terrell,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Treutlen,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Troup,2017,Percent of Deaths by Cause-Drug Overdoses,1.7,N/A,N/A
Turner,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Twiggs,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Union,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Upson,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Toombs,2017,Percent of Deaths by Cause-Drug Overdoses,1.6,N/A,N/A
Walker,2017,Percent of Deaths by Cause-Drug Overdoses,1.7,N/A,N/A
Wilkes,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Warren,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Washington,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Wayne,2017,Percent of Deaths by Cause-Drug Overdoses,1.4,N/A,N/A
Webster,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Wheeler,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
White,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Whitfield,2017,Percent of Deaths by Cause-Drug Overdoses,1.9,N/A,N/A
Ware,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Wilkinson,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Appling,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Towns,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Camden,2017,Age-Adjusted Death Rate-All Opioids,9.1,N/A,N/A
Bibb,2017,Age-Adjusted Death Rate-All Opioids,8.0,N/A,N/A
Bleckley,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Atkinson,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Bacon,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Baker,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Baldwin,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Banks,2017,Age-Adjusted Death Rate-All Opioids,26.2,N/A,N/A
Barrow,2017,Age-Adjusted Death Rate-All Opioids,8.8,N/A,N/A
Bartow,2017,Age-Adjusted Death Rate-All Opioids,18.4,N/A,N/A
Berrien,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Worth,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Tift,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Brantley,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Brooks,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Bryan,2017,Age-Adjusted Death Rate-All Opioids,13.1,N/A,N/A
Bulloch,2017,Age-Adjusted Death Rate-All Opioids,7.5,N/A,N/A
Burke,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Butts,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Calhoun,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Lumpkin,2017,Percent of Deaths by Cause-Drug Overdoses,3.3,N/A,N/A
Thomas,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Greene,2017,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
DeKalb,2017,Age-Adjusted Death Rate-All Opioids,6.3,N/A,N/A
DeKalb,2017,Age-Adjusted Death Rate-Drug Overdoses,10.2,N/A,N/A
Clayton,2017,Age-Adjusted Death Rate-All Opioids,6.3,N/A,N/A
Cobb,2017,Age-Adjusted Death Rate-All Opioids,14.7,N/A,N/A
Chatham,2017,Age-Adjusted Death Rate-All Opioids,10.1,N/A,N/A
Chattahoochee,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Chattooga,2017,Age-Adjusted Death Rate-All Opioids,17.5,N/A,N/A
Cherokee,2017,Age-Adjusted Death Rate-All Opioids,15.1,N/A,N/A
Clarke,2017,Age-Adjusted Death Rate-All Opioids,6.2,N/A,N/A
Clay,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Dooly,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Dodge,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Dade,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Decatur,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Colquitt,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Columbia,2017,Age-Adjusted Death Rate-All Opioids,11.3,N/A,N/A
Cook,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Coweta,2017,Age-Adjusted Death Rate-All Opioids,13.0,N/A,N/A
Crawford,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Crisp,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Coffee,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Clinch,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Gordon,2017,Age-Adjusted Death Rate-All Opioids,8.7,N/A,N/A
Dawson,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Dougherty,2017,Age-Adjusted Death Rate-All Opioids,5.8,N/A,N/A
Douglas,2017,Age-Adjusted Death Rate-All Opioids,13.2,N/A,N/A
Early,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Echols,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Effingham,2017,Age-Adjusted Death Rate-All Opioids,13.4,N/A,N/A
Elbert,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Emanuel,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Grady,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Peach,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Evans,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Floyd,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Forsyth,2017,Age-Adjusted Death Rate-All Opioids,11.1,N/A,N/A
Franklin,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Fulton,2017,Age-Adjusted Death Rate-All Opioids,9.3,N/A,N/A
Gilmer,2017,Age-Adjusted Death Rate-All Opioids,28.2,N/A,N/A
Glascock,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Glynn,2017,Age-Adjusted Death Rate-All Opioids,15.7,N/A,N/A
Fannin,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Fayette,2017,Age-Adjusted Death Rate-All Opioids,9.5,N/A,N/A
Greene,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Gwinnett,2017,Age-Adjusted Death Rate-All Opioids,7.9,N/A,N/A
Jackson,2017,Age-Adjusted Death Rate-All Opioids,13.4,N/A,N/A
Haralson,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Harris,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Hart,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Heard,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Henry,2017,Age-Adjusted Death Rate-All Opioids,9.5,N/A,N/A
Houston,2017,Age-Adjusted Death Rate-All Opioids,4.4,N/A,N/A
Hall,2017,Age-Adjusted Death Rate-All Opioids,11.7,N/A,N/A
Irwin,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Liberty,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Jefferson,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Jenkins,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Johnson,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Jones,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Decatur,2017,Age-Adjusted Death Rate-Drug Overdoses,N/A,N/A,N/A
Wilcox,2017,Percent of Deaths by Cause-Drug Overdoses,0.0,N/A,N/A
Lamar,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Lanier,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Jasper,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Lowndes,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Hancock,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Paulding,2017,Age-Adjusted Death Rate-All Opioids,12.2,N/A,N/A
Mitchell,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Monroe,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Lumpkin,2017,Age-Adjusted Death Rate-All Opioids,27.4,N/A,N/A
McDuffie,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
McIntosh,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Macon,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Madison,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Marion,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Meriwether,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Miller,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Long,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Habersham,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Montgomery,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Morgan,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Murray,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Muscogee,2017,Age-Adjusted Death Rate-All Opioids,6.8,N/A,N/A
Newton,2017,Age-Adjusted Death Rate-All Opioids,8.6,N/A,N/A
Oconee,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Oglethorpe,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Charlton,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Candler,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Catoosa,2017,Age-Adjusted Death Rate-All Opioids,17.3,N/A,N/A
Pike,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Catoosa,2017,Age-Adjusted Death Rate-Drug Overdoses,40.0,N/A,N/A
Whitfield,2017,Age-Adjusted Death Rate-All Opioids,11.2,N/A,N/A
Randolph,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Telfair,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Schley,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Polk,2017,Age-Adjusted Death Rate-All Opioids,15.8,N/A,N/A
Pulaski,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Putnam,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Quitman,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Wheeler,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Rabun,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Rockdale,2017,Age-Adjusted Death Rate-All Opioids,6.8,N/A,N/A
Talbot,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Screven,2017,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Taylor,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Seminole,2017,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Spalding,2017,Age-Adjusted Death Rate-All Opioids,8.2,N/A,N/A
