County,Year,Measure,Cause,Value
Macon,2019,ER Visit Rate, All Other Unintentional Injury,2479.3
Madison,2019,ER Visit Rate, All Other Unintentional Injury,3925.7
Marion,2019,ER Visit Rate, All Other Unintentional Injury,2655.8
Meriwether,2019,ER Visit Rate, All Other Unintentional Injury,5262.9
Miller,2019,ER Visit Rate, All Other Unintentional Injury,4721.9
Mitchell,2019,ER Visit Rate, All Other Unintentional Injury,6412.7
Monroe,2019,ER Visit Rate, All Other Unintentional Injury,3850.9
Montgomery,2019,ER Visit Rate, All Other Unintentional Injury,2856.5
Morgan,2019,ER Visit Rate, All Other Unintentional Injury,4217.7
Murray,2019,ER Visit Rate, All Other Unintentional Injury,4676.3
Oconee,2019,ER Visit Rate, All Other Unintentional Injury,1730.4
Oglethorpe,2019,ER Visit Rate, All Other Unintentional Injury,3466.8
Peach,2019,ER Visit Rate, All Other Unintentional Injury,3205.5
Pickens,2019,ER Visit Rate, All Other Unintentional Injury,5148.7
Pierce,2019,ER Visit Rate, All Other Unintentional Injury,5589.5
Pike,2019,ER Visit Rate, All Other Unintentional Injury,3359.4
Polk,2019,ER Visit Rate, All Other Unintentional Injury,5627.4
Pulaski,2019,ER Visit Rate, All Other Unintentional Injury,2783.5
Putnam,2019,ER Visit Rate, All Other Unintentional Injury,3964.9
Quitman,2019,ER Visit Rate, All Other Unintentional Injury,304.5
Rabun,2019,ER Visit Rate, All Other Unintentional Injury,5047.6
Randolph,2019,ER Visit Rate, All Other Unintentional Injury,3422.8
Schley,2019,ER Visit Rate, All Other Unintentional Injury,2568.0
Screven,2019,ER Visit Rate, All Other Unintentional Injury,4768.7
Seminole,2019,ER Visit Rate, All Other Unintentional Injury,5166.9
Stephens,2019,ER Visit Rate, All Other Unintentional Injury,6040.5
Stewart,2019,ER Visit Rate, All Other Unintentional Injury,1842.6
Sumter,2019,ER Visit Rate, All Other Unintentional Injury,3583.5
Talbot,2019,ER Visit Rate, All Other Unintentional Injury,4455.2
Taliaferro,2019,ER Visit Rate, All Other Unintentional Injury,4814.6
Tattnall,2019,ER Visit Rate, All Other Unintentional Injury,4116.9
Taylor,2019,ER Visit Rate, All Other Unintentional Injury,3927.7
Telfair,2019,ER Visit Rate, All Other Unintentional Injury,3007.6
Terrell,2019,ER Visit Rate, All Other Unintentional Injury,2215.4
Thomas,2019,ER Visit Rate, All Other Unintentional Injury,4589.3
Tift,2019,ER Visit Rate, All Other Unintentional Injury,3439.6
Toombs,2019,ER Visit Rate, All Other Unintentional Injury,3745.8
Towns,2019,ER Visit Rate, All Other Unintentional Injury,3389.5
Treutlen,2019,ER Visit Rate, All Other Unintentional Injury,3216.9
Turner,2019,ER Visit Rate, All Other Unintentional Injury,3619.3
Twiggs,2019,ER Visit Rate, All Other Unintentional Injury,4569.0
Union,2019,ER Visit Rate, All Other Unintentional Injury,4447.0
Upson,2019,ER Visit Rate, All Other Unintentional Injury,6554.0
Ware,2019,ER Visit Rate, All Other Unintentional Injury,6819.8
Warren,2019,ER Visit Rate, All Other Unintentional Injury,4967.6
Washington,2019,ER Visit Rate, All Other Unintentional Injury,2419.8
Wayne,2019,ER Visit Rate, All Other Unintentional Injury,4658.0
Webster,2019,ER Visit Rate, All Other Unintentional Injury,2033.0
Wheeler,2019,ER Visit Rate, All Other Unintentional Injury,2342.5
White,2019,ER Visit Rate, All Other Unintentional Injury,2948.2
Wilcox,2019,ER Visit Rate, All Other Unintentional Injury,3323.7
Wilkes,2019,ER Visit Rate, All Other Unintentional Injury,2577.5
Wilkinson,2019,ER Visit Rate, All Other Unintentional Injury,4467.3
Worth,2019,ER Visit Rate, All Other Unintentional Injury,5255.1
Appling,2020,ER Visit Rate, Falls,2510.2
Atkinson,2020,ER Visit Rate, Falls,2192.3
Bacon,2020,ER Visit Rate, Falls,2908.7
Baker,2020,ER Visit Rate, Falls,2760.0
Baldwin,2020,ER Visit Rate, Falls,2135.3
Banks,2020,ER Visit Rate, Falls,2025.6
Berrien,2020,ER Visit Rate, Falls,2777.2
Bleckley,2020,ER Visit Rate, Falls,2578.2
Brantley,2020,ER Visit Rate, Falls,1947.7
Brooks,2020,ER Visit Rate, Falls,2630.7
Bryan,2020,ER Visit Rate, Falls,1101.7
Burke,2020,ER Visit Rate, Falls,1611.6
Butts,2020,ER Visit Rate, Falls,2410.9
Calhoun,2020,ER Visit Rate, Falls,1235.8
Candler,2020,ER Visit Rate, Falls,2339.6
Charlton,2020,ER Visit Rate, Falls,1273.3
Chattahoochee,2020,ER Visit Rate, Falls,739.3
Chattooga,2020,ER Visit Rate, Falls,2028.7
Clay,2020,ER Visit Rate, Falls,593.2
Clinch,2020,ER Visit Rate, Falls,3828.6
Coffee,2020,ER Visit Rate, Falls,2367.1
Colquitt,2020,ER Visit Rate, Falls,3236.6
Cook,2020,ER Visit Rate, Falls,1411.1
Crawford,2020,ER Visit Rate, Falls,2256.6
Crisp,2020,ER Visit Rate, Falls,1801.8
Dade,2020,ER Visit Rate, Falls,112.1
Dawson,2020,ER Visit Rate, Falls,1578.6
Decatur,2020,ER Visit Rate, Falls,2672.3
Dodge,2020,ER Visit Rate, Falls,2048.7
Dooly,2020,ER Visit Rate, Falls,1518.1
Early,2020,ER Visit Rate, Falls,1873.1
Echols,2020,ER Visit Rate, Falls,1524.2
Elbert,2020,ER Visit Rate, Falls,1732.6
Emanuel,2020,ER Visit Rate, Falls,2323.7
Evans,2020,ER Visit Rate, Falls,2303.1
Fannin,2020,ER Visit Rate, Falls,2895.8
Franklin,2020,ER Visit Rate, Falls,2178.4
Gilmer,2020,ER Visit Rate, Falls,2764.4
Glascock,2020,ER Visit Rate, Falls,1675.6
Grady,2020,ER Visit Rate, Falls,1955.8
Greene,2020,ER Visit Rate, Falls,2760.5
Habersham,2020,ER Visit Rate, Falls,2252.0
Hancock,2020,ER Visit Rate, Falls,2201.6
Haralson,2020,ER Visit Rate, Falls,2583.7
Harris,2020,ER Visit Rate, Falls,1682.4
Hart,2020,ER Visit Rate, Falls,1636.0
Heard,2020,ER Visit Rate, Falls,1987.8
Irwin,2020,ER Visit Rate, Falls,1874.9
Jasper,2020,ER Visit Rate, Falls,2540.9
Jefferson,2020,ER Visit Rate, Falls,2122.2
Jenkins,2020,ER Visit Rate, Falls,2332.5
Johnson,2020,ER Visit Rate, Falls,2017.2
Jones,2020,ER Visit Rate, Falls,1632.7
Lamar,2020,ER Visit Rate, Falls,1931.4
Lanier,2020,ER Visit Rate, Falls,2682.3
Laurens,2020,ER Visit Rate, Falls,2327.8
Lee,2020,ER Visit Rate, Falls,876.5
Lincoln,2020,ER Visit Rate, Falls,1755.7
Long,2020,ER Visit Rate, Falls,1467.5
Lumpkin,2020,ER Visit Rate, Falls,2027.1
McDuffie,2020,ER Visit Rate, Falls,2197.3
McIntosh,2020,ER Visit Rate, Falls,1251.1
Macon,2020,ER Visit Rate, Falls,1274.4
Madison,2020,ER Visit Rate, Falls,1851.8
Marion,2020,ER Visit Rate, Falls,1209.5
Meriwether,2020,ER Visit Rate, Falls,2556.2
Miller,2020,ER Visit Rate, Falls,2063.3
Mitchell,2020,ER Visit Rate, Falls,3096.9
Monroe,2020,ER Visit Rate, Falls,2489.1
Montgomery,2020,ER Visit Rate, Falls,1642.3
Morgan,2020,ER Visit Rate, Falls,2653.3
Murray,2020,ER Visit Rate, Falls,2940.1
Oconee,2020,ER Visit Rate, Falls,1145.3
Oglethorpe,2020,ER Visit Rate, Falls,1761.7
Peach,2020,ER Visit Rate, Falls,2039.4
Pickens,2020,ER Visit Rate, Falls,2804.4
Pierce,2020,ER Visit Rate, Falls,2714.9
Pike,2020,ER Visit Rate, Falls,1684.0
Polk,2020,ER Visit Rate, Falls,2976.2
Pulaski,2020,ER Visit Rate, Falls,2359.0
Putnam,2020,ER Visit Rate, Falls,2642.1
Quitman,2020,ER Visit Rate, Falls,220.2
Rabun,2020,ER Visit Rate, Falls,2721.0
Randolph,2020,ER Visit Rate, Falls,1391.8
Schley,2020,ER Visit Rate, Falls,1655.1
Screven,2020,ER Visit Rate, Falls,2519.3
Seminole,2020,ER Visit Rate, Falls,2121.6
Stephens,2020,ER Visit Rate, Falls,3156.2
Stewart,2020,ER Visit Rate, Falls,1121.2
Sumter,2020,ER Visit Rate, Falls,1905.6
Talbot,2020,ER Visit Rate, Falls,1888.3
Taliaferro,2020,ER Visit Rate, Falls,2240.7
Tattnall,2020,ER Visit Rate, Falls,2428.5
Taylor,2020,ER Visit Rate, Falls,2328.5
Telfair,2020,ER Visit Rate, Falls,1463.8
Terrell,2020,ER Visit Rate, Falls,1232.0
Thomas,2020,ER Visit Rate, Falls,2145.5
Tift,2020,ER Visit Rate, Falls,1507.9
Toombs,2020,ER Visit Rate, Falls,2231.9
Towns,2020,ER Visit Rate, Falls,3021.1
Treutlen,2020,ER Visit Rate, Falls,2022.9
Turner,2020,ER Visit Rate, Falls,1725.5
Twiggs,2020,ER Visit Rate, Falls,1974.6
Union,2020,ER Visit Rate, Falls,3123.3
Upson,2020,ER Visit Rate, Falls,3464.4
Ware,2020,ER Visit Rate, Falls,2928.0
Warren,2020,ER Visit Rate, Falls,1873.1
Washington,2020,ER Visit Rate, Falls,2034.7
Wayne,2020,ER Visit Rate, Falls,2971.1
Webster,2020,ER Visit Rate, Falls,1618.5
Wheeler,2020,ER Visit Rate, Falls,1677.2
White,2020,ER Visit Rate, Falls,1720.6
Wilcox,2020,ER Visit Rate, Falls,2423.0
Wilkes,2020,ER Visit Rate, Falls,1980.6
Wilkinson,2020,ER Visit Rate, Falls,2110.8
Worth,2020,ER Visit Rate, Falls,2678.8
